"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode","new_georeferenced_column"
201034737,"August",12,2019,19:38:00,"MANHATTAN",25,0,NA,FALSE,"<18","M","BLACK","<18","M","BLACK",1001806,230242.640625,40.798629658,-73.9365927539999,"POINT (-73.93659275399995 40.79862965800004)",10035,NA
200155033,"July",23,2019,19:49:00,"BROOKLYN",69,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1013937.375,169957.265625,40.633128454,-73.893042586,"POINT (-73.89304258599998 40.63312845400003)",11236,NA
201573938,"August",25,2019,00:59:00,"QUEENS",110,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1022838.8125,208240.34375,40.7381723170001,-73.860752931,"POINT (-73.86075293099998 40.73817231700008)",11368,NA
200668267,"August",4,2019,03:47:00,"MANHATTAN",26,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",997306.3125,234541.984375,40.8104379690001,-73.952836345,"POINT (-73.95283634499998 40.81043796900008)",10040,NA
205719913,"November",27,2019,00:45:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1022778.4375,262630.5625,40.88745837,-73.8606585969999,"POINT (-73.86065859699994 40.88745837000005)",10466,NA
201858653,"September",2,2019,02:57:00,"BROOKLYN",70,0,NA,TRUE,NA,NA,NA,"45-64","F","WHITE HISPANIC",996636.5,172210.5,40.639354188,-73.9553707119999,"POINT (-73.95537071199993 40.63935418800003)",11226,NA
191949902,"January",5,2019,01:50:00,"BRONX",43,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1025519,242145,40.8312193370001,-73.850873158,"POINT (-73.85087315799996 40.83121933700005)",10462,NA
203041424,"September",29,2019,00:35:00,"BRONX",47,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","WHITE",1026854.8125,262287.34375,40.886497606,-73.8459180949999,"POINT (-73.84591809499994 40.88649760600004)",10466,NA
199247701,"July",3,2019,00:04:00,"QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",999925.3125,214506.8125,40.7554424910001,-73.9434221189999,"POINT (-73.94342211899993 40.75544249100005)",11101,NA
192978312,"January",31,2019,00:15:00,"MANHATTAN",33,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1000037.9375,243153.453125,40.834069554,-73.9429482639999,"POINT (-73.94294826399994 40.83406955400005)",10032,NA
197691092,"May",27,2019,20:50:00,"BROOKLYN",79,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1000285.8125,186744.65625,40.6792413920001,-73.9421870429999,"POINT (-73.94218704299993 40.67924139200005)",11216,NA
194226976,"March",2,2019,21:30:00,"BROOKLYN",75,0,NA,FALSE,"18-24","M","BLACK","<18","M","WHITE HISPANIC",1017036,183890,40.6713598200001,-73.881811023,"POINT (-73.88181102299995 40.67135982000008)",11208,NA
204464564,"November",4,2019,13:40:00,"BRONX",40,0,NA,FALSE,"45-64","M","BLACK","25-44","M","WHITE HISPANIC",1008119.9375,238321.75,40.8207897670001,-73.913759382,"POINT (-73.91375938199997 40.820789767000065)",10451,NA
200099025,"July",22,2019,22:27:00,"BRONX",44,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1010044.125,244313.171875,40.837229091,-73.906784264,"POINT (-73.90678426399995 40.83722909100004)",10456,NA
193939358,"February",22,2019,15:30:00,"QUEENS",101,0,NA,FALSE,"<18","M","BLACK","18-24","M","BLACK",1050836.75,157878.375,40.5997740020001,-73.760219652,"POINT (-73.76021965199999 40.59977400200006)",11691,NA
198552994,"June",15,2019,01:25:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1000312.875,234249.21875,40.8096294540001,-73.94197603,"POINT (-73.94197602999998 40.80962945400006)",10027,NA
198404597,"June",12,2019,19:37:00,"BROOKLYN",77,0,"GROCERY/BODEGA",TRUE,"25-44","M","BLACK","45-64","M","BLACK",1000434.875,185273.734375,40.6752037740001,-73.941653155,"POINT (-73.94165315499998 40.67520377400007)",11213,NA
205437642,"November",20,2019,23:11:00,"BRONX",44,0,"COMMERCIAL BLDG",FALSE,NA,NA,NA,"18-24","M","BLACK",1007188.1875,243232.9375,40.83427204,-73.917109002,"POINT (-73.91710900199996 40.83427204000003)",10456,NA
197573448,"May",23,2019,20:39:00,"BROOKLYN",75,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1018964.3125,182071.15625,40.666360153,-73.874869015,"POINT (-73.87486901499994 40.66636015300003)",11208,NA
204458420,"November",2,2019,00:24:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1000683.6875,198150.9375,40.7105482590001,-73.9407247459999,"POINT (-73.94072474599994 40.71054825900006)",11206,NA
201384510,"August",20,2019,22:11:00,"BROOKLYN",60,0,NA,TRUE,"25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",988124.0625,149736.25,40.5776747830001,-73.986055404,"POINT (-73.98605540399996 40.57767478300008)",11224,NA
201875866,"September",2,2019,23:44:00,"STATEN ISLAND",122,0,NA,TRUE,NA,NA,NA,"18-24","M","WHITE HISPANIC",951830,161855,40.6108798540001,-74.1167665839999,"POINT (-74.11676658399995 40.610879854000075)",10314,NA
192440376,"January",17,2019,13:20:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",995727.5625,190315.25,40.6890489420001,-73.958614955,"POINT (-73.95861495499997 40.68904894200006)",11238,NA
